航空公園,289,27,28448,150
新所沢,290,29,55265,152
入曽,294,33,18378,109
狭山市,298,36,40592,109
新狭山,303,39,21434,109
南大塚,308,42,16054,109
本川越,315,44,49266,109
椎名町,255,2,19372,164
東長崎,271,4,27531,164
江古田,284,6,32396,164
桜台,283,8,14132,164
練馬,280,6,125478,240
中村橋,277,14,39156,192
富士見台,275,15,26470,192
練馬高野台,278,17,26691,192
石神井公園,279,10,77693,368
大泉学園,281,13,85597,237
保谷,279,15,60058,237
ひばりヶ丘,279,15,69024,262
東久留米,282,20,53984,202
清瀬,285,22,68834,196
秋津,286,24,79774,196
所沢,286,22,97662,239
西所沢,286,27,24881,201
小手指,288,30,48696,210
狭山ヶ丘,289,32,25831,104
武蔵藤沢,291,34,24190,104
稲荷山公園,294,37,9503,104
入間市,293,37,34306,112
仏子,291,43,13235,104
元加治,290,45,6794,104
飯能,291,44,32094,112
北池袋,23,2,8921,160
下板橋,12,3,15354,160
大山,340,5,49419,160
中板橋,333,7,26961,160
ときわ台,328,8,46664,160
上板橋,320,13,49284,160
東武練馬,314,16,59102,160
下赤塚,307,17,16822,160
成増,307,10,57729,302
和光市,306,12,164062,236
朝霞,307,16,64163,223
朝霞台,310,17,153680,316
志木,310,19,102131,325
柳瀬川,310,24,20674,178
みずほ台,310,26,41056,178
鶴瀬,310,28,43850,178
ふじみ野,311,25,64904,268
上福岡,312,28,54731,178
新河岸,313,31,23514,178
川越,314,31,125687,280
川越市,314,32,35968,280
霞ケ関,312,36,28817,139
鶴ケ島,312,39,33510,139
若葉,312,41,37447,155
坂戸,312,44,27755,169
北坂戸,314,47,19569,139
高坂,317,50,25937,139
東松山,321,52,29568,169
森林公園,319,56,14123,169
つきのわ,317,60,4441,65
武蔵嵐山,315,62,7773,65
小川町,312,69,10869,65
