代官山,172,3,9470,213
中目黒,188,4,120486,352
祐天寺,202,6,14241,213
学芸大学,204,7,41032,283
都立大学,206,10,22181,213
自由が丘,207,9,43849,352
田園調布,207,12,12085,283
多摩川,204,13,6056,213
新丸子,201,16,9828,213
武蔵小杉,202,14,103895,352
元住吉,202,19,28850,213
日吉,202,19,98853,283
綱島,203,21,62809,213
大倉山,203,26,33939,213
菊名,203,21,82440,352
妙蓮寺,201,24,14104,162
白楽,199,26,29655,162
東白楽,199,28,7055,162
反町,199,30,6045,162
横浜,198,28,204036,300
新高島,198,33,4889,162
みなとみらい,197,32,80044,299
馬車道,195.5,36,35231,268
日本大通り,193,37,23254,268
元町・中華街,191,36,59148,299
池尻大橋,239,2,36462,239
三軒茶屋,238,4,76066,296
駒沢大学,232,6,47251,239
桜新町,239,9,45353,239
用賀,239,11,34548,239
二子玉川,232,12,48074,559
二子新地,231,15,11436,222
高津,231,16,19218,222
溝の口,231,16,95631,566
梶が谷,230,21,24430,200
宮崎台,231,23,29305,200
宮前平,232,24,33237,200
鷺沼,233,20,36616,304
たまプラーザ,234,22,41982,304
あざみ野,233,24,87992,304
江田,231,27,26887,200
市が尾,231,29,26725,200
藤が丘,231,31,12893,200
青葉台,232,27,71931,304
田奈,233,34,7627,200
長津田,233,30,83350,304
つくし野,233,33,7847,166
すずかけ台,232,35,7460,166
南町田,232,37,20292,196
つきみ野,233,38,5398,166
中央林間,234,36,70437,259
